,"Ip","Protocol","Src Port","Dst Port","Seq","Ack","Len"
"1","192.168.170.145,192.168.170.159","Transmission Control Protocol",47732,80,0,0
"2","192.168.170.159,192.168.170.145","Transmission Control Protocol",80,47732,0,1,0
"3","192.168.170.145,192.168.170.159","Transmission Control Protocol",47732,80,1,1,0
"4","192.168.170.145,192.168.170.159","Transmission Control Protocol",47732,80,1,1,418
"5","192.168.170.159,192.168.170.145","Transmission Control Protocol",80,47732,1,419,0
"6","192.168.170.159,192.168.170.145","Transmission Control Protocol",80,47732,1,419,1012
"7","192.168.170.145,192.168.170.159","Transmission Control Protocol",47732,80,419,1013,0
"8","192.168.170.145,192.168.170.159","Transmission Control Protocol",47732,80,419,1013,0
"9","192.168.170.159,192.168.170.145","Transmission Control Protocol",80,47732,1013,420,0
"10","192.168.170.145,192.168.170.159","Transmission Control Protocol",47732,80,420,1014,0
"11","192.168.170.145,192.168.170.159","Transmission Control Protocol",47734,80,0,0
"12","192.168.170.159,192.168.170.145","Transmission Control Protocol",80,47734,0,1,0
"13","192.168.170.145,192.168.170.159","Transmission Control Protocol",47734,80,1,1,0
"14","192.168.170.145,192.168.170.159","Transmission Control Protocol",47734,80,1,1,960
"15","192.168.170.159,192.168.170.145","Transmission Control Protocol",80,47734,1,961,0
"16","192.168.170.159,192.168.170.145","Transmission Control Protocol",80,47734,1,961,243
"17","192.168.170.145,192.168.170.159","Transmission Control Protocol",47734,80,961,244,0
"18","192.168.170.145,192.168.170.159","Transmission Control Protocol",47734,80,961,244,335
"19","192.168.170.159,192.168.170.145","Transmission Control Protocol",80,47734,244,1296,722
"20","192.168.170.145,192.168.170.159","Transmission Control Protocol",47734,80,1296,966,0
"21","192.168.170.145,192.168.170.159","Transmission Control Protocol",47734,80,1296,966,0
"22","192.168.170.159,192.168.170.145","Transmission Control Protocol",80,47734,966,1297,0
"23","192.168.170.145,192.168.170.159","Transmission Control Protocol",47734,80,1297,967,0
"24","192.168.170.145,192.168.170.159","Transmission Control Protocol",47736,80,0,0
"25","192.168.170.159,192.168.170.145","Transmission Control Protocol",80,47736,0,1,0
"26","192.168.170.145,192.168.170.159","Transmission Control Protocol",47736,80,1,1,0
"27","192.168.170.145,192.168.170.159","Transmission Control Protocol",47736,80,1,1,400
"28","192.168.170.159,192.168.170.145","Transmission Control Protocol",80,47736,1,401,0
"29","192.168.170.159,192.168.170.145","Transmission Control Protocol",57680,4242,0,0
"30","192.168.170.145,192.168.170.159","Transmission Control Protocol",4242,57680,0,1,0
"31","192.168.170.159,192.168.170.145","Transmission Control Protocol",57680,4242,1,1,0
"32","192.168.170.159,192.168.170.145","Transmission Control Protocol",57680,4242,1,1,55
"33","192.168.170.145,192.168.170.159","Transmission Control Protocol",4242,57680,1,56,0
"34","192.168.170.145,192.168.170.159","Transmission Control Protocol",47736,80,400,1,0
"35","192.168.170.159,192.168.170.145","Transmission Control Protocol",80,47736,1,401,0
"36","192.168.170.145,192.168.170.159","Transmission Control Protocol",4242,57680,1,56,3
"37","192.168.170.159,192.168.170.145","Transmission Control Protocol",57680,4242,56,4,0
"38","192.168.170.159,192.168.170.145","Transmission Control Protocol",57680,4242,56,4,54
"39","192.168.170.145,192.168.170.159","Transmission Control Protocol",4242,57680,4,110,0
"40","192.168.170.159,192.168.170.145","Transmission Control Protocol",57680,4242,110,4,2
"41","192.168.170.145,192.168.170.159","Transmission Control Protocol",4242,57680,4,112,0
"42","192.168.170.138,192.168.170.254",
"43","192.168.170.254,192.168.170.138",
"44","192.168.170.145,192.168.170.159","Transmission Control Protocol",4242,57680,4,112,47
"45","192.168.170.159,192.168.170.145","Transmission Control Protocol",57680,4242,112,51,64
"46","192.168.170.145,192.168.170.159","Transmission Control Protocol",4242,57680,51,176,0
"47",,,,,,,
"48",,,,,,,
"49","192.168.170.145,192.168.170.159","Transmission Control Protocol",4242,57680,51,176,8
"50","192.168.170.159,192.168.170.145","Transmission Control Protocol",57680,4242,176,59,9
"51","192.168.170.145,192.168.170.159","Transmission Control Protocol",4242,57680,59,185,0
"52","192.168.170.159,192.168.170.145","Transmission Control Protocol",57680,4242,185,59,12
"53","192.168.170.145,192.168.170.159","Transmission Control Protocol",4242,57680,59,197,0
"54","192.168.170.159,192.168.170.145","Transmission Control Protocol",57680,4242,197,59,118
"55","192.168.170.145,192.168.170.159","Transmission Control Protocol",4242,57680,59,315,0
"56","192.168.170.159,192.168.170.145","Transmission Control Protocol",57680,4242,315,59,64
